"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dis","mod","annot"
"signaling by ntrks","signaling by ntrks","24/564","134/10821",9.11547373856797e-08,2.81799732083489e-06,2.05247836360021e-06,"ADCYAP1/ARC/BAX/BDNF/CDK5/CDK5R1/CREB1/EGR1/FOS/FYN/GRIN2B/IRS1/IRS2/MAPK1/MAPK14/MAPK3/NGF/NTF3/NTRK1/NTRK2/RHOA/SRF/STAT3/VGF",24,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"signaling by vegf","signaling by vegf","21/564","106/10821",9.77075384116309e-08,2.81799732083489e-06,2.05247836360021e-06,"ACTB/AKT1/CAV1/CTNNB1/CYBB/FYN/HSP90AA1/HSPB1/KDR/MAPK14/MTOR/NOS3/PAK3/PRKCD/PRKCZ/PTK2B/RHOA/ROCK1/SPHK1/VEGFA/VEGFB",21,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"toll like receptor tlr1 tlr2 cascade","toll like receptor tlr1 tlr2 cascade","20/564","97/10821",9.85735610561083e-08,2.81799732083489e-06,2.05247836360021e-06,"APP/CD14/CD36/CREB1/FOS/HMGB1/JUN/MAPK1/MAPK10/MAPK14/MAPK3/MAPK8/NFKB1/NFKB2/RELA/S100A12/S100B/TLR2/TLR4/UBB",20,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"peptide ligand binding receptors","peptide ligand binding receptors","30/564","197/10821",1.04561658038238e-07,2.81799732083489e-06,2.05247836360021e-06,"POMC/AGTR1/AGT/APP/AVP/C5/CCL2/CCL3/CCL5/CCR2/CCR5/CCR6/CX3CL1/CX3CR1/CXCL10/CXCR2/ECE1/EDN1/F2/FPR2/HCRT/CXCL8/KNG1/NPY/NTS/SST/SSTR1/SSTR4/TAC1/TRH",30,"ALZHEIMER DISEASE",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"activation of the ap 1 family of transcription factors","activation of the ap 1 family of transcription factors","7/564","10/10821",1.05397537590281e-07,2.81799732083489e-06,2.05247836360021e-06,"FOS/JUN/MAPK1/MAPK10/MAPK14/MAPK3/MAPK8",7,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"neurotransmitter clearance","neurotransmitter clearance","7/564","10/10821",1.05397537590281e-07,2.81799732083489e-06,2.05247836360021e-06,"ACHE/ALDH2/BCHE/COMT/MAOA/SLC6A3/SLC6A4",7,"ALZHEIMER DISEASE",1,"Neurotransmission"
"toll like receptor 4 tlr4 cascade","toll like receptor 4 tlr4 cascade","23/564","127/10821",1.37001586881859e-07,3.42224452969627e-06,2.49257967714099e-06,"APP/CASP8/CD14/CD36/CREB1/FOS/HMGB1/JUN/MAPK1/MAPK10/MAPK14/MAPK3/MAPK8/NFKB1/NFKB2/RELA/PTPN4/RIPK1/S100A12/S100B/TLR2/TLR4/UBB",23,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"estrogen dependent nuclear events downstream of esr membrane signaling","estrogen dependent nuclear events downstream of esr membrane signaling","10/564","24/10821",1.38102387517271e-07,3.42224452969627e-06,2.49257967714099e-06,"AKT1/BCL2/CDKN1B/CREB1/EGFR/FOS/FOXO3/MAPK1/MAPK3/SRF",10,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"purinergic signaling in leishmaniasis infection","purinergic signaling in leishmaniasis infection","10/564","24/10821",1.38102387517271e-07,3.42224452969627e-06,2.49257967714099e-06,"APP/CASP1/CTSG/IL1A/IL1B/NFKB1/NFKB2/RELA/NLRP3/P2RX7",10,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"signaling by nuclear receptors","signaling by nuclear receptors","38/564","297/10821",2.40222204687048e-07,5.81108952290574e-06,4.23248646353371e-06,"ABCA1/AKT1/APOC1/APOC2/APOD/APOE/BCL2/CAV1/CDKN1B/CETP/CREB1/CREBBP/CTSD/DLD/EGFR/ESR1/ESR2/FKBP4/FOS/FOXO3/HSP90AA1/HSPB1/IGF1R/JUN/KAT5/MAPK1/MAPK3/MMP3/MMP9/MYC/NOS3/NR1H2/PLTP/PRKCZ/SP1/SPHK1/SRF/USF1",38,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"hsf1 dependent transactivation","hsf1 dependent transactivation","12/564","38/10821",2.78296785957928e-07,6.57557057054081e-06,4.7892935257876e-06,"CREBBP/CRYAB/FKBP4/HSF1/HSP90AA1/HSPA1A/HSPA8/HSPB1/HSPB2/MTOR/TNFRSF21/UBB",12,"ALZHEIMER DISEASE",5,"Response to stress: autophagy, mitophagy, heatshock response"
"nuclear signaling by erbb4","nuclear signaling by erbb4","11/564","32/10821",3.31585460174051e-07,7.65660971674626e-06,5.57666455747267e-06,"APH1A/APOE/ESR1/GFAP/NCSTN/NRG1/PSEN1/PSEN2/PSENEN/S100B/STMN1",11,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"caspase activation via death receptors in the presence of ligand","caspase activation via death receptors in the presence of ligand","8/564","16/10821",4.60152597321884e-07,1.03892230862008e-05,7.56695382262653e-06,"CASP8/CD14/FAS/FASLG/RIPK1/TLR4/TNFRSF10A/TNFSF10",8,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"leishmania infection","leishmania infection","38/564","306/10821",5.17394617620719e-07,1.14276724239707e-05,8.32330471824635e-06,"ABL1/ACTB/POMC/ADCYAP1/ADM/ADRB2/APP/AVP/CASP1/CREB1/CRH/CRHR1/CTSG/FYN/GCG/GHRH/GIP/HTR4/HTR6/HTR7/IAPP/IL1A/IL10/IL1B/IL6/JUN/LHCGR/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/NFKB2/RELA/NLRP3/P2RX7/PTGER2/VIP",38,"ALZHEIMER DISEASE",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"metabolism of fat soluble vitamins","metabolism of fat soluble vitamins","13/564","48/10821",6.52245296739869e-07,1.40996004571852e-05,1.02693940337767e-05,"AGRN/APOA1/APOA4/APOB/APOC2/APOE/HSPG2/LDLR/LPL/LRP1/LRP2/LRP8/TTR",13,"ALZHEIMER DISEASE",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"attenuation phase","attenuation phase","10/564","28/10821",7.6433605458065e-07,1.61784464886238e-05,1.1783514174785e-05,"CREBBP/FKBP4/HSF1/HSP90AA1/HSPA1A/HSPA8/HSPB1/HSPB2/TNFRSF21/UBB",10,"ALZHEIMER DISEASE",5,"Response to stress: autophagy, mitophagy, heatshock response"
"degradation of the extracellular matrix","degradation of the extracellular matrix","23/564","140/10821",8.39107621260235e-07,1.7398639657151e-05,1.26722375455627e-05,"A2M/ADAM10/CAPN2/CASP3/CAST/CD44/CDH1/COL25A1/CTSB/CTSD/CTSG/ELANE/FN1/HSPG2/HTRA1/MMP24/MMP3/MMP9/NCSTN/PLG/PSEN1/SPP1/TIMP1",23,"ALZHEIMER DISEASE",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"eph ephrin signaling","eph ephrin signaling","18/564","92/10821",9.76059694138031e-07,1.98335329848848e-05,1.44456834732429e-05,"ACTB/ADAM10/APH1A/EPHA1/EPHA4/EPHB2/FYN/GRIN1/GRIN2B/KALRN/MMP9/NCSTN/PAK3/PSEN1/PSEN2/PSENEN/RHOA/ROCK1",18,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"mapk family signaling cascades","mapk family signaling cascades","39/564","327/10821",1.03277860318873e-06,2.05745698203872e-05,1.49854150266599e-05,"ACTB/ARRB1/ARTN/BCL2L1/CDK1/CSF2/DLG4/EGFR/FGF1/FGF2/FN1/FOXO3/FYN/GDNF/GRIN1/GRIN2B/GRIN2D/HGF/HSPB1/IL2/IL6/IL6R/IRS1/IRS2/JUN/KALRN/KITLG/MAPK1/MAPK3/MIR34C/MYC/NCAM1/NEFL/NRG1/PAK3/RAF1/RANBP9/TYK2/UBB",39,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"signaling by erbb4","signaling by erbb4","14/564","58/10821",1.12355789696569e-06,2.16195478945332e-05,1.5746521104286e-05,"APH1A/APOE/DLG4/EGFR/ESR1/GFAP/NCSTN/NRG1/PSEN1/PSEN2/PSENEN/S100B/STMN1/UBB",14,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"response of mtb to phagocytosis","response of mtb to phagocytosis","9/564","23/10821",1.12779137638805e-06,2.16195478945332e-05,1.5746521104286e-05,"CTSG/ENO1/GSK3A/MAPK1/MAPK3/NOS2/RAB5A/RAB7A/UBB",9,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"advanced glycosylation endproduct receptor signaling","advanced glycosylation endproduct receptor signaling","7/564","13/10821",1.31295329485832e-06,2.42538281377464e-05,1.76651897853665e-05,"APP/HMGB1/LGALS3/MAPK1/MAPK3/S100A12/S100B",7,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"transmission across chemical synapses","transmission across chemical synapses","34/564","269/10821",1.38715408050653e-06,2.51669383177612e-05,1.83302503495505e-05,"ACHE/ALDH2/APBA1/BCHE/CHRNA4/CHRNA7/COMT/CREB1/DLG4/GLS/GLUL/GRIA2/GRIN1/GRIN2B/GRIN2D/HSPA8/MAOA/MAPK1/MAPK3/MAPT/NEFL/NRG1/NRGN/PRKAA1/PRKAA2/PRKAB1/SLC17A7/SLC18A3/SLC1A2/SLC6A1/SLC6A3/SLC6A4/SNAP25/SYT1",34,"ALZHEIMER DISEASE",1,"Neurotransmission"
"toll like receptor 9 tlr9 cascade","toll like receptor 9 tlr9 cascade","18/564","95/10821",1.59558974090834e-06,2.84406873116294e-05,2.07146738293364e-05,"APP/CD14/CREB1/FOS/HMGB1/JUN/MAPK1/MAPK10/MAPK14/MAPK3/MAPK8/NFKB1/NFKB2/RELA/S100A12/S100B/TLR4/UBB",18,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"sars cov infections","sars cov infections","17/564","86/10821",1.67899289073878e-06,2.94113237412173e-05,2.14216334335638e-05,"BECN1/COMT/GSK3A/GSK3B/IL6R/NR3C1/PDCD1/RIPK1/ROCK1/S1PR1/SIGMAR1/ST3GAL4/SUMO1/TYK2/UBB/VCP/VEGFA",17,"ALZHEIMER DISEASE",8,"Interferon stimulated genes: interleukins and antigen presentation"
"p75 ntr receptor mediated signalling","p75 ntr receptor mediated signalling","18/564","97/10821",2.18728916367154e-06,3.76658608523777e-05,2.74337962901176e-05,"APH1A/CASP2/CASP3/KALRN/MAPK8/NCSTN/NFKB1/RELA/NGF/NGFR/PSEN1/PSEN2/PSENEN/RHOA/RTN4/RTN4R/SQSTM1/UBB",18,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"hsf1 activation","hsf1 activation","10/564","31/10821",2.2409460606072e-06,3.79466866262819e-05,2.76383347474888e-05,"EEF1A1/FKBP4/HSF1/HSP90AA1/HSPA1A/HSPB1/HSPB2/TNFRSF21/UBB/VCP",10,"ALZHEIMER DISEASE",5,"Response to stress: autophagy, mitophagy, heatshock response"
"plasma lipoprotein assembly","plasma lipoprotein assembly","8/564","19/10821",2.35011281501106e-06,3.85115261298587e-05,2.80497335985191e-05,"A2M/ABCA1/APOA1/APOA4/APOB/APOC1/APOC2/APOE",8,"ALZHEIMER DISEASE",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"synthesis secretion and deacylation of ghrelin","synthesis secretion and deacylation of ghrelin","8/564","19/10821",2.35011281501106e-06,3.85115261298587e-05,2.80497335985191e-05,"ACHE/BCHE/GCG/GH1/IGF1/INS/LEP/PLA2G7",8,"ALZHEIMER DISEASE",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"plasma lipoprotein remodeling","plasma lipoprotein remodeling","10/564","32/10821",3.10883724262227e-06,5.01361688651465e-05,3.6516500945087e-05,"ALB/APOA1/APOA4/APOB/APOC2/APOE/CETP/LIPC/LPL/PLTP",10,"ALZHEIMER DISEASE",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"chylomicron remodeling","chylomicron remodeling","6/564","10/10821",3.42637369578005e-06,5.27453890138262e-05,3.84169171951096e-05,"APOA1/APOA4/APOB/APOC2/APOE/LPL",6,"ALZHEIMER DISEASE",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"hdl remodeling","hdl remodeling","6/564","10/10821",3.42637369578005e-06,5.27453890138262e-05,3.84169171951096e-05,"ALB/APOA1/APOC2/APOE/CETP/PLTP",6,"ALZHEIMER DISEASE",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"signal attenuation","signal attenuation","6/564","10/10821",3.42637369578005e-06,5.27453890138262e-05,3.84169171951096e-05,"INS/INSR/IRS1/IRS2/MAPK1/MAPK3",6,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"constitutive signaling by akt1 e17k in cancer","constitutive signaling by akt1 e17k in cancer","9/564","26/10821",3.74521246072645e-06,5.67930725387772e-05,4.1365033148322e-05,"AKT1/CASP9/CDKN1A/CDKN1B/CREB1/FOXO3/GSK3A/GSK3B/MTOR",9,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"esr mediated signaling","esr mediated signaling","29/564","221/10821",3.94186412003475e-06,5.88960874405192e-05,4.28967566003782e-05,"AKT1/BCL2/CAV1/CDKN1B/CREB1/CREBBP/CTSD/EGFR/ESR1/ESR2/FKBP4/FOS/FOXO3/HSP90AA1/HSPB1/IGF1R/JUN/KAT5/MAPK1/MAPK3/MMP3/MMP9/MYC/NOS3/PRKCZ/SP1/SPHK1/SRF/USF1",29,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"signaling by notch2","signaling by notch2","10/564","33/10821",4.25433454838689e-06,6.2643534799436e-05,4.56261966058884e-05,"ADAM10/APH1A/CREB1/MAMLD1/MDK/NCSTN/PSEN1/PSEN2/PSENEN/UBB",10,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"the nlrp3 inflammasome","the nlrp3 inflammasome","7/564","15/10821",4.49166343183281e-06,6.51932863820305e-05,4.74832991365183e-05,"APP/CASP1/NFKB1/NFKB2/RELA/NLRP3/P2RX7",7,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"signaling by notch1","signaling by notch1","15/564","74/10821",4.93546469982666e-06,7.06258047186462e-05,5.14400546179116e-05,"ADAM10/APH1A/ARRB1/CCNC/CREBBP/HDAC9/HIF1A/MAMLD1/MYC/NCSTN/NOTCH1/PSEN1/PSEN2/PSENEN/UBB",15,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"signaling by notch3","signaling by notch3","12/564","49/10821",5.59825936339531e-06,7.72244924461097e-05,5.62461854430326e-05,"ADAM10/APH1A/CREBBP/EGFR/MAMLD1/NCSTN/NOTCH1/PSEN1/PSEN2/PSENEN/UBB/WWC1",12,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"toll like receptor 10 tlr10 cascade","toll like receptor 10 tlr10 cascade","16/564","84/10821",5.62430917133041e-06,7.72244924461097e-05,5.62461854430326e-05,"APP/CREB1/FOS/HMGB1/JUN/MAPK1/MAPK10/MAPK14/MAPK3/MAPK8/NFKB1/NFKB2/RELA/S100A12/S100B/UBB",16,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"clathrin mediated endocytosis","clathrin mediated endocytosis","22/564","145/10821",5.62461854430326e-06,7.72244924461097e-05,5.62461854430326e-05,"ACTB/ADRB2/AGTR1/APOB/ARRB1/AVP/BIN1/CD3D/EGFR/HSPA8/LDLR/LRP2/PICALM/RAB5A/SLC18A3/SNAP91/SYNJ1/SYT1/TF/TFRC/UBB/UBQLN1",22,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"signaling by notch1 pest domain mutants in cancer","signaling by notch1 pest domain mutants in cancer","13/564","58/10821",6.59479357124396e-06,8.93374702451182e-05,6.50686299029404e-05,"ADAM10/APH1A/CCNC/CREBBP/HDAC9/MAMLD1/MYC/NCSTN/NOTCH1/PSEN1/PSEN2/PSENEN/UBB",13,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"regulation by c flip","regulation by c flip","6/564","11/10821",7.20585406391467e-06,9.63308911702277e-05,7.0162263253906e-05,"CASP8/FAS/FASLG/RIPK1/TNFRSF10A/TNFSF10",6,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"g alpha q signalling events","g alpha q signalling events","28/564","216/10821",7.32342441184414e-06,9.66311584731643e-05,7.03809618800606e-05,"AGTR1/AGT/APP/AVP/CASR/CHRM1/CREB1/EDN1/EGFR/F2/FPR2/GCG/GRK5/GRM5/HCRT/HTR2A/HTR2C/KALRN/KNG1/MAPK1/MAPK3/MGLL/MMP3/NTS/PRKCD/RGS2/TAC1/TRH",28,"ALZHEIMER DISEASE",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"notch2 activation and transmission of signal to the nucleus","notch2 activation and transmission of signal to the nucleus","8/564","22/10821",8.64890142615652e-06,0.000112581692222925,8.19984766190599e-05,"ADAM10/APH1A/MDK/NCSTN/PSEN1/PSEN2/PSENEN/UBB",8,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"eph ephrin mediated repulsion of cells","eph ephrin mediated repulsion of cells","12/564","51/10821",8.75389142284558e-06,0.000112581692222925,8.19984766190599e-05,"ACTB/ADAM10/APH1A/EPHA1/EPHA4/EPHB2/FYN/MMP9/NCSTN/PSEN1/PSEN2/PSENEN",12,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"interleukin 1 family signaling","interleukin 1 family signaling","21/564","139/10821",9.79797765938987e-06,0.000124434316274251,9.06312933493563e-05,"ALOX5/APP/CASP1/CTSG/HMGB1/IL1A/IL1B/IL1RN/IL33/IL4/MAPK8/NFKB1/NFKB2/RELA/PTPN4/S100A12/S100B/SMAD3/SQSTM1/STAT3/UBB",21,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"transcriptional regulation by tp53","transcriptional regulation by tp53","39/564","362/10821",1.23154665283363e-05,0.000154475481392466,0.000112511669518134,"AKT1/BAX/BRCA1/CASP1/CASP2/CASP6/CCNB1/CDC25C/CDK1/CDK5/CDK5R1/CDK7/CDKN1A/CDKN1B/CDKN2A/CREBBP/CYCS/DDIT4/FAS/FOS/GLS/GPI/GSR/IGFBP3/JUN/KAT5/MAPK14/MTOR/PIN1/PRDX5/PRKAA1/PRKAA2/PRKAB1/PTEN/TNFRSF10A/TP53/TP73/UBB/YWHAZ",39,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"long term potentiation","long term potentiation","8/564","23/10821",1.26601601193664e-05,0.000156862471722881,0.000114250225467453,"DLG4/GRIA2/GRIN1/GRIN2B/GRIN2D/NEFL/NRG1/NRGN",8,"ALZHEIMER DISEASE",1,"Neurotransmission"
"g alpha i signalling events","g alpha i signalling events","42/564","403/10821",1.29202083892471e-05,0.000158155803897289,0.00011519221937401,"POMC/AGRN/AGT/APOA1/APOA4/APOB/APOC2/APOE/APP/C5/CASR/CCL5/CCR2/CCR5/CCR6/CDK5/CNR1/CREB1/CX3CL1/CX3CR1/CXCL10/CXCR2/FPR2/GRM2/HSPG2/HTR1F/CXCL8/KNG1/LDLR/LPL/LRP1/LRP2/LRP8/MAPK1/NPY/PLA2G4A/PRKCD/S1PR1/SST/SSTR1/SSTR4/TTR",42,"ALZHEIMER DISEASE",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"potential therapeutics for sars","potential therapeutics for sars","10/564","37/10821",1.32516138952489e-05,0.000160281425209201,0.000116740408124811,"COMT/IL6R/NR3C1/PDCD1/RIPK1/ROCK1/S1PR1/SIGMAR1/TYK2/VEGFA",10,"ALZHEIMER DISEASE",8,"Interferon stimulated genes: interleukins and antigen presentation"
"serotonin receptors","serotonin receptors","6/564","12/10821",1.37772318017389e-05,0.000162941568971912,0.000118677914408676,"HTR1F/HTR2A/HTR2C/HTR4/HTR6/HTR7",6,"ALZHEIMER DISEASE",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"negative regulation of the pi3k akt network","negative regulation of the pi3k akt network","18/564","110/10821",1.37922981610083e-05,0.000162941568971912,0.000118677914408676,"AKT1/EGFR/ESR1/ESR2/FGF1/FGF2/FYN/HGF/IL33/INS/INSR/IRS1/IRS2/KITLG/MAPK1/MAPK3/NRG1/PTEN",18,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"foxo mediated transcription of oxidative stress metabolic and neuronal genes","foxo mediated transcription of oxidative stress metabolic and neuronal genes","9/564","30/10821",1.42153726102577e-05,0.000166009408873814,0.000120912364730927,"POMC/FOXO3/INS/NPY/NR3C1/PPARGC1A/SIRT3/SMAD3/SOD2",9,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"transcriptional regulation by mecp2","transcriptional regulation by mecp2","13/564","63/10821",1.72090377864161e-05,0.000198686163534077,0.000144712363203953,"BDNF/CREB1/CRH/GRIA2/GRIN2B/HTT/MIR132/NOTCH1/PPARG/PTEN/PTPN4/PVALB/SST",13,"ALZHEIMER DISEASE",1,"Neurotransmission"
"rho gtpases activate nadph oxidases","rho gtpases activate nadph oxidases","8/564","24/10821",1.81294377941944e-05,0.00020681881320323,0.000150635749774006,"CYBB/MAPK1/MAPK14/MAPK3/PIN1/PRKCD/PRKCZ/S100A9",8,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"regulation of hsf1 mediated heat shock response","regulation of hsf1 mediated heat shock response","15/564","82/10821",1.83205641617034e-05,0.00020681881320323,0.000150635749774006,"FKBP4/GSK3B/HSF1/HSPA1A/HSPA4/HSPA5/HSPA8/HSPA9/HSPB1/HSPB2/MAPK1/MAPK3/SIRT1/TNFRSF21/UBB",15,"ALZHEIMER DISEASE",5,"Response to stress: autophagy, mitophagy, heatshock response"
"activated notch1 transmits signal to the nucleus","activated notch1 transmits signal to the nucleus","9/564","31/10821",1.91140016532965e-05,0.000213404677799442,0.000155432540916917,"ADAM10/APH1A/ARRB1/NCSTN/NOTCH1/PSEN1/PSEN2/PSENEN/UBB",9,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"apoptotic factor mediated response","apoptotic factor mediated response","7/564","18/10821",1.93603561952197e-05,0.0002138056727646,0.000155724604178941,"BAX/CASP3/CASP9/CDKN2A/CYCS/MAPK1/MAPK3",7,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"nf kb is activated and signals survival","nf kb is activated and signals survival","6/564","13/10821",2.44608990933508e-05,0.000266230605996292,0.000193908118540606,"NFKB1/RELA/NGF/NGFR/SQSTM1/UBB",6,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"transcriptional regulation of white adipocyte differentiation","transcriptional regulation of white adipocyte differentiation","15/564","84/10821",2.47170293239832e-05,0.000266230605996292,0.000193908118540606,"ADIPOQ/CCNC/CD36/CDK4/CEBPD/CREBBP/LEP/LPL/NFKB1/RELA/PPARA/PPARG/PPARGC1A/TGFB1/TNF",15,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"activation of nmda receptors and postsynaptic events","activation of nmda receptors and postsynaptic events","16/564","94/10821",2.48936098126454e-05,0.000266230605996292,0.000193908118540606,"APBA1/CREB1/DLG4/GRIA2/GRIN1/GRIN2B/GRIN2D/MAPK1/MAPK3/MAPT/NEFL/NRG1/NRGN/PRKAA1/PRKAA2/PRKAB1",16,"ALZHEIMER DISEASE",1,"Neurotransmission"
"notch3 activation and transmission of signal to the nucleus","notch3 activation and transmission of signal to the nucleus","8/564","25/10821",2.54531548617345e-05,0.00026937922228669,0.000196201402059203,"ADAM10/APH1A/EGFR/NCSTN/PSEN1/PSEN2/PSENEN/UBB",8,"ALZHEIMER DISEASE",10,"NOTCH and FOXO mediated gene expression"
"cargo recognition for clathrin mediated endocytosis","cargo recognition for clathrin mediated endocytosis","17/564","105/10821",2.74675914642689e-05,0.000287701782759765,0.000209546574057309,"ADRB2/AGTR1/APOB/ARRB1/AVP/CD3D/EGFR/LDLR/LRP2/PICALM/SLC18A3/SNAP91/SYT1/TF/TFRC/UBB/UBQLN1",17,"ALZHEIMER DISEASE",4,"Signal transduction upon growth factor stimulation"
"interleukin 12 family signaling","interleukin 12 family signaling","12/564","57/10821",2.92815552895875e-05,0.000300520466037174,0.000218883016601878,"GSTO1/HSPA9/IFNG/IL10/IL12A/IL12B/IL23A/MIF/SOD1/SOD2/STAT3/TYK2",12,"ALZHEIMER DISEASE",8,"Interferon stimulated genes: interleukins and antigen presentation"
"regulation of tlr by endogenous ligand","regulation of tlr by endogenous ligand","7/564","19/10821",2.92829981670081e-05,0.000300520466037174,0.000218883016601878,"APOB/CD14/CD36/HMGB1/S100A9/TLR2/TLR4",7,"ALZHEIMER DISEASE",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"cellular senescence","cellular senescence","25/564","198/10821",3.52965368898818e-05,0.000358612814801199,0.000261194372985125,"CDK4/CDKN1A/CDKN1B/CDKN2A/FOS/HMGA1/IFNB1/IL1A/IL6/CXCL8/JUN/KAT5/MAP3K5/MAP4K4/MAPK1/MAPK10/MAPK14/MAPK3/MAPK8/NFKB1/RELA/SP1/STAT3/TP53/UBB",25,"ALZHEIMER DISEASE",2,"Cell fate: apoptosis, senesence, differentiation"
"extracellular matrix organization","extracellular matrix organization","33/564","301/10821",4.06942760034094e-05,0.000407650471708027,0.000296910776637737,"A2M/ADAM10/AGRN/APP/CAPN2/CASP3/CAST/CD44/CDH1/COL25A1/CTSB/CTSD/CTSG/ELANE/FGF2/FN1/HSPG2/HTRA1/ICAM1/KDR/MMP24/MMP3/MMP9/NCAM1/NCSTN/PLG/PSEN1/SERPINE1/SPP1/TGFB1/THBS1/TIMP1/TTR",33,"ALZHEIMER DISEASE",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
