"Id","Label","Class"
"bh3 only proteins associate with and inactivate anti apoptotic bcl 2 members","bh3 only proteins associate with and inactivate anti apoptotic bcl 2 members","Term"
"release of apoptotic factors from the mitochondria","release of apoptotic factors from the mitochondria","Term"
"activation of caspases through apoptosome mediated cleavage","activation of caspases through apoptosome mediated cleavage","Term"
"cytochrome c mediated apoptotic response","cytochrome c mediated apoptotic response","Term"
"smac xiap regulated apoptotic response","smac xiap regulated apoptotic response","Term"
"apoptotic factor mediated response","apoptotic factor mediated response","Term"
"camk iv mediated phosphorylation of creb","camk iv mediated phosphorylation of creb","Term"
"g protein mediated events","g protein mediated events","Term"
"transmission across electrical synapses","transmission across electrical synapses","Term"
"presynaptic depolarization and calcium channel opening","presynaptic depolarization and calcium channel opening","Term"
"neurotransmitter clearance","neurotransmitter clearance","Term"
"neurotransmitter receptors and postsynaptic signal transmission","neurotransmitter receptors and postsynaptic signal transmission","Term"
"irs mediated signalling","irs mediated signalling","Term"
"raf independent mapk1 3 activation","raf independent mapk1 3 activation","Term"
"mapk1 erk2 activation","mapk1 erk2 activation","Term"
"formation of the early elongation complex","formation of the early elongation complex","Term"
"disinhibition of snare formation","disinhibition of snare formation","Term"
"activation of ras in b cells","activation of ras in b cells","Term"
"fertilization","fertilization","Term"
"ros and rns production in phagocytes","ros and rns production in phagocytes","Term"
"regulation of gene expression by hypoxia inducible factor","regulation of gene expression by hypoxia inducible factor","Term"
"cellular response to hypoxia","cellular response to hypoxia","Term"
"cross presentation of particulate exogenous antigens phagosomes","cross presentation of particulate exogenous antigens phagosomes","Term"
"methionine salvage pathway","methionine salvage pathway","Term"
"erythrocytes take up oxygen and release carbon dioxide","erythrocytes take up oxygen and release carbon dioxide","Term"
"shc1 events in erbb2 signaling","shc1 events in erbb2 signaling","Term"
"downregulation of erbb4 signaling","downregulation of erbb4 signaling","Term"
"interleukin 7 signaling","interleukin 7 signaling","Term"
"ca2plus activated kplus channels","ca2plus activated kplus channels","Term"
"g protein gated potassium channels","g protein gated potassium channels","Term"
"inwardly rectifying kplus channels","inwardly rectifying kplus channels","Term"
"sperm motility and taxes","sperm motility and taxes","Term"
"acrosome reaction and sperm:oocyte membrane binding","acrosome reaction and sperm:oocyte membrane binding","Term"
"grb7 events in erbb2 signaling","grb7 events in erbb2 signaling","Term"
"downregulation of erbb2:erbb3 signaling","downregulation of erbb2:erbb3 signaling","Term"
"transcription of e2f targets under negative control by dream complex","transcription of e2f targets under negative control by dream complex","Term"
"transcription of e2f targets under negative control by p107 rbl1 and p130 rbl2 in complex with hdac1","transcription of e2f targets under negative control by p107 rbl1 and p130 rbl2 in complex with hdac1","Term"
"mitochondrial iron sulfur cluster biogenesis","mitochondrial iron sulfur cluster biogenesis","Term"
"rora activates gene expression","rora activates gene expression","Term"
"bmal1:clock npas2 activates circadian gene expression","bmal1:clock npas2 activates circadian gene expression","Term"
"abc transporters in lipid homeostasis","abc transporters in lipid homeostasis","Term"
"elevation of cytosolic ca2plus levels","elevation of cytosolic ca2plus levels","Term"
"activation of puma and translocation to mitochondria","activation of puma and translocation to mitochondria","Term"
"caspase activation via death receptors in the presence of ligand","caspase activation via death receptors in the presence of ligand","Term"
"extrinsic pathway of fibrin clot formation","extrinsic pathway of fibrin clot formation","Term"
"intrinsic pathway of fibrin clot formation","intrinsic pathway of fibrin clot formation","Term"
"common pathway of fibrin clot formation","common pathway of fibrin clot formation","Term"
"the citric acid tca cycle and respiratory electron transport","the citric acid tca cycle and respiratory electron transport","Term"
"regulation of signaling by nodal","regulation of signaling by nodal","Term"
"collagen degradation","collagen degradation","Term"
"translocation of slc2a4 glut4 to the plasma membrane","translocation of slc2a4 glut4 to the plasma membrane","Term"
"alpha defensins","alpha defensins","Term"
"reproduction","reproduction","Term"
"o2 co2 exchange in erythrocytes","o2 co2 exchange in erythrocytes","Term"
"acyl chain remodeling of cl","acyl chain remodeling of cl","Term"
"acyl chain remodeling of dag and tag","acyl chain remodeling of dag and tag","Term"
"hydrolysis of lpc","hydrolysis of lpc","Term"
"synthesis of pg","synthesis of pg","Term"
"synthesis of pi","synthesis of pi","Term"
"synthesis of pips at the er membrane","synthesis of pips at the er membrane","Term"
"inositol phosphate metabolism","inositol phosphate metabolism","Term"
"signaling by activin","signaling by activin","Term"
"phase ii conjugation of compounds","phase ii conjugation of compounds","Term"
"methylation","methylation","Term"
"amino acid conjugation","amino acid conjugation","Term"
"elastic fibre formation","elastic fibre formation","Term"
"fibronectin matrix formation","fibronectin matrix formation","Term"
"polo like kinase mediated events","polo like kinase mediated events","Term"
"gap junction trafficking and regulation","gap junction trafficking and regulation","Term"
"mitochondrial biogenesis","mitochondrial biogenesis","Term"
"transport of the slbp dependant mature mrna","transport of the slbp dependant mature mrna","Term"
"transport of mature mrnas derived from intronless transcripts","transport of mature mrnas derived from intronless transcripts","Term"
"activation of matrix metalloproteinases","activation of matrix metalloproteinases","Term"
"removal of aminoterminal propeptides from gamma carboxylated proteins","removal of aminoterminal propeptides from gamma carboxylated proteins","Term"
"zbp1 dai mediated induction of type i ifns","zbp1 dai mediated induction of type i ifns","Term"
"irf3 mediated activation of type 1 ifn","irf3 mediated activation of type 1 ifn","Term"
"sulfide oxidation to sulfate","sulfide oxidation to sulfate","Term"
"degradation of cysteine and homocysteine","degradation of cysteine and homocysteine","Term"
"budding and maturation of hiv virion","budding and maturation of hiv virion","Term"
"golgi cisternae pericentriolar stack reorganization","golgi cisternae pericentriolar stack reorganization","Term"
"attachment of gpi anchor to upar","attachment of gpi anchor to upar","Term"
"post translational modification: synthesis of gpi anchored proteins","post translational modification: synthesis of gpi anchored proteins","Term"
"respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins","respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins","Term"
"macroautophagy","macroautophagy","Term"
"pka mediated phosphorylation of key metabolic factors","pka mediated phosphorylation of key metabolic factors","Term"
"triglyceride catabolism","triglyceride catabolism","Term"
"ampk inhibits chrebp transcriptional activation activity","ampk inhibits chrebp transcriptional activation activity","Term"
"chrebp activates metabolic gene expression","chrebp activates metabolic gene expression","Term"
"pp2a mediated dephosphorylation of key metabolic factors","pp2a mediated dephosphorylation of key metabolic factors","Term"
"gamma carboxylation hypusine formation and arylsulfatase activation","gamma carboxylation hypusine formation and arylsulfatase activation","Term"
"disease","disease","Term"
"pka activation in glucagon signalling","pka activation in glucagon signalling","Term"
"2 ltr circle formation","2 ltr circle formation","Term"
"nef and signal transduction","nef and signal transduction","Term"
"the role of nef in hiv 1 replication and disease pathogenesis","the role of nef in hiv 1 replication and disease pathogenesis","Term"
"collagen biosynthesis and modifying enzymes","collagen biosynthesis and modifying enzymes","Term"
"mtor signalling","mtor signalling","Term"
"regulation of cholesterol biosynthesis by srebp srebf","regulation of cholesterol biosynthesis by srebp srebf","Term"
"toll like receptor 4 tlr4 cascade","toll like receptor 4 tlr4 cascade","Term"
"mitochondrial uncoupling proteins","mitochondrial uncoupling proteins","Term"
"signaling by ntrks","signaling by ntrks","Term"
"lectin pathway of complement activation","lectin pathway of complement activation","Term"
"terminal pathway of complement","terminal pathway of complement","Term"
"formation of hiv elongation complex in the absence of hiv tat","formation of hiv elongation complex in the absence of hiv tat","Term"
"transcription of the hiv genome","transcription of the hiv genome","Term"
"abortive elongation of hiv 1 transcript in the absence of tat","abortive elongation of hiv 1 transcript in the absence of tat","Term"
"hiv elongation arrest and recovery","hiv elongation arrest and recovery","Term"
"nef mediated cd4 down regulation","nef mediated cd4 down regulation","Term"
"toll like receptor 9 tlr9 cascade","toll like receptor 9 tlr9 cascade","Term"
"toll like receptor tlr1:tlr2 cascade","toll like receptor tlr1:tlr2 cascade","Term"
"host interactions with influenza factors","host interactions with influenza factors","Term"
"influenza infection","influenza infection","Term"
